x1,x10,y1,y2,loss
-20,-20,-0.34337,0.285399,0.135353631101
-20,-18,-0.329405,0.351181,0.112905863786
-20,-16,-0.315439,0.416969,0.09950204468200002
-20,-14,-0.301472,0.482763,0.09514462595300001
-20,-12,-0.287503,0.548563,0.09983548497800002
-20,-10,-0.273534,0.614368,0.11357785858000002
-20,-8,-0.259563,0.680179,0.13637320801
-20,-6,-0.245591,0.745996,0.168224561297
-20,-4,-0.231617,0.811819,0.20913390844999996
-20,-2,-0.217643,0.877648,0.25910465735300003
-20,0,-0.203667,0.943482,0.31813731121300004
-20,2,-0.18969,1.009322,0.3862355757840001
-20,4,-0.178804,1.094093,0.489748958065
-20,6,-0.164579,1.161106,0.580036130477
-20,8,-0.150352,1.228124,0.67971699328
-20,10,-0.136124,1.295148,0.78879575528
-20,12,-0.121895,1.362179,0.9072768040660001
-20,14,-0.107665,1.429215,1.0351589934499998
-20,16,-0.093433,1.496257,1.1724463905379998
-20,18,-0.0792,1.563306,1.3191440296360002
-18,-20,-0.0792,1.563306,1.3191440296360002
-18,-18,-0.0792,1.563306,1.3191440296360002
-18,-16,-0.0792,1.563306,1.3191440296360002
-18,-14,-0.0792,1.563306,1.3191440296360002
-18,-12,-0.0792,1.563306,1.3191440296360002
-18,-10,-0.0792,1.563306,1.3191440296360002
-18,-8,-0.0792,1.563306,1.3191440296360002
-18,-6,-0.0792,1.563306,1.3191440296360002
-18,-4,-0.0792,1.563306,1.3191440296360002
-18,-2,-0.0792,1.563306,1.3191440296360002
-18,0,-0.0792,1.563306,1.3191440296360002
-18,2,-0.165194,0.964596,0.326603090852
-18,4,-0.150968,1.031602,0.3999126034279999
-18,6,-0.136741,1.098615,0.4826157443059999
-18,8,-0.122512,1.165633,0.5747121758329999
-18,10,-0.108282,1.232658,0.676207556488
-18,12,-0.094051,1.299688,0.787101257945
-18,14,-0.079819,1.366725,0.907399173386
-18,16,-0.065585,1.433768,1.0371020400489999
-18,18,-0.051351,1.500816,1.1762104810569998
-16,-20,-0.051351,1.500816,1.1762104810569998
-16,-18,-0.051351,1.500816,1.1762104810569998
-16,-16,-0.051351,1.500816,1.1762104810569998
-16,-14,-0.051351,1.500816,1.1762104810569998
-16,-12,-0.051351,1.500816,1.1762104810569998
-16,-10,-0.051351,1.500816,1.1762104810569998
-16,-8,-0.051351,1.500816,1.1762104810569998
-16,-6,-0.051351,1.500816,1.1762104810569998
-16,-4,-0.051351,1.500816,1.1762104810569998
-16,-2,-0.051351,1.500816,1.1762104810569998
-16,0,-0.151583,0.835099,0.19736633069000004
-16,2,-0.137357,0.902099,0.25370313625
-16,4,-0.123129,0.969106,0.31942992987700003
-16,6,-0.1089,1.036119,0.39454867716100006
-16,8,-0.094669,1.103137,0.4790603153300001
-16,10,-0.080438,1.170162,0.5729703580879999
-16,12,-0.066205,1.237193,0.6762797162740001
-16,14,-0.051971,1.30423,0.7889910777410001
-16,16,-0.037735,1.371272,0.9111049582090001
-16,18,-0.023498,1.438321,1.042627670045
-14,-20,-0.023498,1.438321,1.042627670045
-14,-18,-0.023498,1.438321,1.042627670045
-14,-16,-0.023498,1.438321,1.042627670045
-14,-14,-0.023498,1.438321,1.042627670045
-14,-12,-0.023498,1.438321,1.042627670045
-14,-10,-0.023498,1.438321,1.042627670045
-14,-8,-0.023498,1.438321,1.042627670045
-14,-6,-0.023498,1.438321,1.042627670045
-14,-4,-0.023498,1.438321,1.042627670045
-14,-2,-0.137973,0.705602,0.10203931113299998
-14,0,-0.123746,0.772596,0.14140624173199998
-14,2,-0.109517,0.839597,0.19015985069800007
-14,4,-0.095287,0.906604,0.248302335185
-14,6,-0.081056,0.973617,0.315836192825
-14,8,-0.066824,1.040635,0.392762675201
-14,10,-0.052591,1.10766,0.47908663888100017
-14,12,-0.038356,1.174691,0.5748093932169999
-14,14,-0.02412,1.241728,0.6799335703839999
-14,16,-0.009882,1.308771,0.7944616493649999
-14,18,0.004356,1.375821,0.918398113777
-12,-20,0.004356,1.375821,0.918398113777
-12,-18,0.004356,1.375821,0.918398113777
-12,-16,0.004356,1.375821,0.918398113777
-12,-14,0.004356,1.375821,0.918398113777
-12,-12,0.004356,1.375821,0.918398113777
-12,-10,0.004356,1.375821,0.918398113777
-12,-8,0.004356,1.375821,0.918398113777
-12,-6,0.004356,1.375821,0.918398113777
-12,-4,-0.124362,0.576104,0.04062113585999999
-12,-2,-0.110135,0.643093,0.06302191987400002
-12,0,-0.095905,0.710088,0.09480550676900004
-12,2,-0.081675,0.777089,0.13597505454600003
-12,4,-0.067443,0.844096,0.18653270546499998
-12,6,-0.053211,0.911109,0.24648125540199997
-12,8,-0.038976,0.978128,0.31582288296000005
-12,10,-0.024741,1.045153,0.39456040549000004
-12,12,-0.010504,1.112184,0.48269619387200013
-12,14,0.003734,1.179222,0.58023434804
-12,16,0.017973,1.246265,0.687174453954
-12,18,0.032213,1.313314,0.8035203999650001
-10,-20,0.032213,1.313314,0.8035203999650001
-10,-18,0.032213,1.313314,0.8035203999650001
-10,-16,0.032213,1.313314,0.8035203999650001
-10,-14,0.032213,1.313314,0.8035203999650001
-10,-12,0.032213,1.313314,0.8035203999650001
-10,-10,0.032213,1.313314,0.8035203999650001
-10,-8,0.032213,1.313314,0.8035203999650001
-10,-6,-0.110752,0.446607,0.013113222953
-10,-4,-0.096523,0.51359,0.018549977629
-10,-2,-0.082294,0.580579,0.033367062676999994
-10,0,-0.068063,0.647574,0.057566617445
-10,2,-0.05383,0.714575,0.09115122452499999
-10,4,-0.039597,0.781582,0.13412362513300002
-10,6,-0.025362,0.848596,0.18648699226
-10,8,-0.011126,0.915615,0.248242341101
-10,10,0.003111,0.98264,0.319392897921
-10,12,0.01735,1.049672,0.399942460084
-10,14,0.03159,1.116709,0.48989115378099996
-10,16,0.045831,1.183753,0.5892441405700001
-10,18,0.060073,1.250802,0.698000988533
-8,-20,0.060073,1.250802,0.698000988533
-8,-18,0.060073,1.250802,0.698000988533
-8,-16,0.060073,1.250802,0.698000988533
-8,-14,0.060073,1.250802,0.698000988533
-8,-12,0.060073,1.250802,0.698000988533
-8,-10,0.060073,1.250802,0.698000988533
-8,-8,-0.097141,0.31711,0.019514525980999998
-8,-6,-0.082912,0.384087,0.007990828312999998
-8,-4,-0.068682,0.45107,0.005844162024000004
-8,-2,-0.05445,0.518059,0.013076914981000012
-8,0,-0.040217,0.585055,0.029692085114000004
-8,2,-0.025983,0.652056,0.055691633425
-8,4,-0.011748,0.719063,0.09107825847300001
-8,6,0.002489,0.786077,0.13585520005000004
-8,8,0.016727,0.853096,0.19002366774499999
-8,10,0.030966,0.920122,0.25358776804
-8,12,0.045207,0.987153,0.32654821325799993
-8,14,0.059448,1.054191,0.4089094941850001
-8,16,0.073691,1.121235,0.500673313706
-8,18,0.087936,1.188284,0.6018407147519999
-6,-20,0.087936,1.188284,0.6018407147519999
-6,-18,0.087936,1.188284,0.6018407147519999
-6,-16,0.087936,1.188284,0.6018407147519999
-6,-14,0.087936,1.188284,0.6018407147519999
-6,-12,0.087936,1.188284,0.6018407147519999
-6,-10,-0.08353,0.187612,0.05982575344399999
-6,-8,-0.069301,0.254584,0.031344251657
-6,-6,-0.05507,0.321561,0.012236996621
-6,-4,-0.040838,0.388544,0.002506192179999999
-6,-2,-0.026604,0.455534,0.002154357972000001
-6,0,-0.012369,0.522529,0.011184083002000007
-6,2,0.001867,0.589531,0.029598150650000016
-6,4,0.016104,0.656539,0.057398982337000005
-6,6,0.030343,0.723552,0.094588524353
-6,8,0.044582,0.790572,0.14117027190800005
-6,10,0.058823,0.857598,0.19714639493299999
-6,12,0.073066,0.924629,0.26251846299700005
-6,14,0.087309,0.991667,0.33729060537
-6,16,0.101554,1.058711,0.42146476143699996
-6,18,0.115801,1.125761,0.5150435157220001
-4,-20,0.115801,1.125761,0.5150435157220001
-4,-18,0.115801,1.125761,0.5150435157220001
-4,-16,0.115801,1.125761,0.5150435157220001
-4,-14,0.115801,1.125761,0.5150435157220001
-4,-12,-0.06992,0.058115,0.13404638462499996
-4,-10,-0.055689,0.125081,0.088610136282
